Name,Website,Cuisine,Google Rating,Location,Cost,Notes
Chutney Masala,https://www.chutneymasala.com/,,4.3,Irvington,$$,
TVB by: Pax Romana,http://www.paxromanany.com/,,4.5,White Plains,$$,
Chick Chick,http://www.chickchicknyc.com/,,4.6,Manhattan,,
Covacha,http://www.covachany.com/,,4.2,Manhattan,,
Jiangnan Chinese Cuisine,,,3.9,Manhattan,$$,
Szechuan Gourmet,https://szechuangourmet39.com/,,4.1,Manhattan,$$,
Antoya Korean BBQ(Formerly Samwon Garden),https://www.antoyabbq.com/,,4.4,Manhattan,$$,
Zaab Zaab,https://zaabzaabnyc.com/,,4.3,Queens,,
Le Fanfare,http://www.lefanfare.com/,,4.3,Brooklyn,$$,
Yellow Rose,http://www.yellowrosenyc.com/,,4.4,Manhattan,,
Dumpling Lab,http://dumplinglabnyc.com/,,4.5,Manhattan,$$,
Soda Club,https://www.overthrowhospitality.com/venues/sodaclub,,4.7,Manhattan,,
Grocery store Sami Sheikh,,,,Chicago,,
Dhamaka,http://dhamaka.nyc/,,4.0,Manhattan,,
Sobre Masa,https://www.sobremasa.com/,,4.6,Brooklyn,,
Porcelain,https://www.nyporcelain.com/,,4.6,Queens,,
Rolo’s,http://www.rolosnyc.com/,,4.5,Queens,$$,
Runner Up,,,4.4,Brooklyn,,
Badageoni,https://www.badageoni.com/,,4.8,Mt Kisco,,
Southern Table Kitchen & Bar,https://www.southern-table.com/,,4.5,Pleasantville,$$,
Shiraz Kitchen & Wine Bar,http://shirazkitchen.com/,,4.6,White Plains,$$,
Rasa,https://www.rasanyc.com/,,4.5,Manhattan,$$,
The Cookery,https://thecookeryrestaurant.com/,,4.6,Dobbs Ferry,$$,
Boro6 Wine Bar,http://www.boro6winebar.com/,,4.5,Hastings-On-Hudson,$$,
Cafe Alaia,http://cafealaia.com/,,4.4,Scarsdale,,
Rafele Rye,http://rafelerye.com/,,4.3,Rye,$$,
Burrata Basil Pizza,https://www.clover.com/online-ordering/burratabasilpizza-avenueA,,4.5,Manhattan,$$$,
Tredici SOCIAL,http://tredicisocial.com/,,4.5,Bronxville,,
Maria Restaurant,https://www.marianewrochelle.com/,,4.6,New Rochelle,$$,
Macelleria Italian Steakhouse Pelham,https://macelleriapelham.com/,,4.6,Village of Pelham,,
Peppers Eatery+Cocktails,http://www.pepperseatery.com/,,4.5,Dubrovnik,$$,
Claudy's Kitchen,http://claudys.com/,,4.6,Bronx,$,
Tra Di Noi.,http://www.tradinoi.com/,,4.4,Bronx,$$,
Zero Otto Nove,https://zeroottonove.com/nyc/,,4.5,Manhattan,$$,
Enzo's Of Williamsbridge,http://www.enzosbronxrestaurant.com/,,4.6,Bronx,$$,
El Molcajete,http://el-molcajete-bronx.keeq.io/,,3.9,Bronx,$$,
Oso,http://www.osoharlem.com/,,4.4,Manhattan,$$,
Jin Ramen West Harlem,https://125.jinramen.com/,,4.4,Manhattan,$$,
La Cueva Fonda,https://www.lacuevafondabx.com/,,4.5,Bronx,$,
Mexicocina Mezcaleria,http://mexicocinanyc.com/,,4.2,Bronx,$,
La Morada,http://lamorada.nyc/,,4.5,Bronx,$,
Beatstro,https://www.beatstro.com/,,4.2,Bronx,$$,
Atlas Kitchen,https://www.atlaskitchennyc.com/,,4.1,Manhattan,$$,
Miss Mamie's Spoonbread Too,http://spoonbreadinc.com/,,4.0,Manhattan,$$,
Amelie Wine Bar & Bistro,http://www.ameliewinebar.com/,,4.5,Manhattan,$$,
Legend of Taste,https://legendoftasteup.com/,,4.5,Queens,$$,
Gregory's 26 Corner Taverna,https://www.facebook.com/Gregorys-26-Corner-426359910728563/,,4.5,Queens,$$,
VIA VAI,http://www.viavai-ny.com/,,4.2,Queens,$$,
Bohemian Spirit,http://www.bohemianspiritrestaurant.com/,,4.5,Manhattan,$$,
Tong Sam Gyup Goo Yi,http://www.tongsamgyupgooyi.com/,,4.4,Queens,$$,
Kung Fu Little Steamed Buns Ramen,https://kungfutogo.com/,,4.2,Manhattan,$,
Alley 41,http://www.alley41.com/,,4.3,Queens,$$,
TONCHIN NEW YORK,https://tonchinnewyork.com/,,4.6,Manhattan,$$,
Cho Dang Gol,https://chodanggolnyc.com/,,4.6,Manhattan,$$,
Little Alley,http://www.littlealley.nyc/,,4.3,Manhattan,$$,
New York Angels,http://www.newyorkangels.com/,,,Manhattan,,
Phayul,,,4.2,Queens,$,
Hangawi,http://www.hangawirestaurant.com/,,4.5,Manhattan,$$$,
Cardamom Indian Cusine,http://cardamom.nyc/,,4.3,Queens,$,
Norma,http://www.normarestaurant.com/,,4.7,Manhattan,$$,
Saranrom Thai,https://saranromthai.dine.online/,,4.7,Queens,,
HUPO琥珀,https://www.hupo.nyc/,,4.6,Queens,$$,
Turkish Kitchen,http://www.turkishkitchen.com/,,4.3,Manhattan,$$,
Glasserie,http://www.glasserienyc.com/,,4.5,Brooklyn,$$,
Kubeh,http://www.eatkubeh.com/,,4.3,Manhattan,$$,
Hao Noodle - West Village,http://www.haonoodle.com/,,4.2,Manhattan,$$,
Pata Cafe,https://www.facebook.com/Pata-Cafe-1631945920391968/,,4.7,Queens,$,
Nami Nori,http://naminori.nyc/,,4.5,Manhattan,,
21 Greenpoint,http://www.21greenpoint.com/,,4.4,Brooklyn,$$$,
Sobaya,http://www.sobaya-nyc.com/,,4.3,Manhattan,$$,
Momofuku Noodle Bar,https://momofukunoodlebar.com/,,4.5,Manhattan,$$,
Cotenna,https://www.cotenna.com/,,4.3,Manhattan,$$,
DOMODOMO New York,http://www.domodomonyc.com/,,4.5,Manhattan,$$$,
ATLA,http://eatatla.com/,,4.1,Manhattan,$$,
MáLà Project,http://malaproject.com/,,4.5,Manhattan,$$,
Pinch Chinese,http://www.pinchchinese.com/,,4.3,Manhattan,$$,
Ruffian,http://www.ruffiannyc.com/,,4.6,Manhattan,$$,
Bar Primi,http://barprimi.com/,,4.4,Manhattan,$$$,
Somtum Der,http://www.somtumdernewyork.com/,,4.5,Manhattan,$$,
Van Đa,http://www.vanda.nyc/,,4.5,Manhattan,$$,
Pierozek,http://www.pierozekbrooklyn.com/,,4.8,Brooklyn,,
Rubirosa,https://www.rubirosanyc.com/,,4.6,Manhattan,$$,
Forsythia,http://forsythianyc.com/,,4.5,Manhattan,,
