Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Momotaro,Momotaro,https://www.momotarochicago.com/,"Sushi Bars, Japanese, Noodles",Chicago,$$,,4.6,4.0
Girl and the Goat,Girl & The Goat,http://www.girlandthegoat.com/,"American (New), Bakeries, Coffee & Tea",Chicago,$$$,,4.7,4.5
Monteverde,Monteverde Restaurant & Pastificio,http://monteverdechicago.com/,"Italian, Desserts, Wine Bars",Chicago,$$$,,4.7,4.5
Bonci Pizzeria,Bonci Pizzeria,https://bonciusa.com/,Pizza,Chicago,$$,,4.7,4.5
Formento's,Formento's,http://www.formentos.com/,"Italian, Venues & Event Spaces, Steakhouses",Chicago,$$$,,4.5,4.0
Leña Brava,Leña Brava,http://www.lenabrava.com/,"Seafood, Mexican, Wine Bars",Chicago,$$$,,4.5,4.0
Proxi,Proxi,https://www.proxichicago.com/,"Tapas/Small Plates, Cocktail Bars",Chicago,$$$,,4.6,4.0
Jeong,Jeong,http://jeongchicago.com/,"Korean, American (New)",Chicago,$$$$,,4.8,4.5
Parachute,Parachute,http://www.parachuterestaurant.com/,"Korean, American (New)",Chicago,$$$,,4.5,4.0
Aba,Aba,http://www.abarestaurants.com/,"Mediterranean, Tapas/Small Plates",Chicago,$$$,,4.7,4.5
Greek Islands,Greek Islands,https://www.greekislands.net/,"Greek, Mediterranean",Chicago,$$,,4.6,4.0
ROOH,ROOH Chicago Progressive Indian Restaurant & Cocktail Bar,https://www.roohchicago.com/?y_source=1_OTY2NTY0MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Indian, Cocktail Bars",Chicago,$$,,4.4,4.0
avec,avec Restaurant,http://www.avecrestaurant.com/,Mediterranean,Chicago,$$$,,4.6,4.5
NoMI,NoMI,http://www.nomichicago.com/,"French, Breakfast & Brunch, Beer, Wine & Spirits",Chicago,$$$$,,4.5,4.0
The Purple Pig,The Purple Pig Restaurant,https://thepurplepigchicago.com/,"Tapas/Small Plates, Mediterranean, American (New)",Chicago,$$,,4.6,4.5
Cherry Circle Room,Cherry Circle Room,http://www.cherrycircleroom.com/,"American (New), Venues & Event Spaces",Chicago,$$$,,4.6,4.5
Sushi Dokku,SUSHI DOKKU Japanese Restaurant [ Booze Box Lounge ],http://www.sushidokku.com/,"Sushi Bars, Japanese, Cocktail Bars",Chicago,$$,,4.6,4.0
ShangHai Terrace,Shanghai Terrace,https://www.peninsula.com/en/chicago/hotel-fine-dining/shanghai-terrace-cantonese,"Chinese, Cocktail Bars",Chicago,$$$$,,4.5,4.0
Aba,Aba,http://www.abarestaurants.com/,"Mediterranean, Tapas/Small Plates",Chicago,$$$,,4.7,4.5
Cabra,Cabra,http://www.cabrachicago.com/,Peruvian,Chicago,$$$,,4.5,4.0
La Josie,La Josie,http://lajosie.com/,"Mexican, Cocktail Bars",Chicago,$$,,4.4,4.0
Cira,Cira,http://www.cirachicago.com/,"Mediterranean, Turkish, Breakfast & Brunch",Chicago,$$,,4.5,4.0
Trivoli Tavern,Trivoli Tavern,http://trivolitavern.com/,American (Traditional),Chicago,$$,,4.6,4.5
Kyoten,Kyōten,http://kyotenchicago.com/,Sushi Bars,Chicago,$$$$,,4.8,4.5
