Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Galit,Galit,http://www.galitrestaurant.com/,"Mediterranean, Middle Eastern, Vegetarian",Chicago,$$$$,,4.6,4.5
Sepia,Sepia,https://www.sepiachicago.com/,American (New),Chicago,$$$,,4.6,4.0
North Pond,North Pond,http://www.northpondrestaurant.com/,American (New),Chicago,$$$$,,4.6,4.0
Elske,Elske,http://elskerestaurant.com/,Scandinavian,Chicago,$$$$,,4.6,4.0
Topolobampo,Topolobampo,https://www.rickbayless.com/restaurants/topolobampo/,Mexican,Chicago,$$,,4.6,3.5
Porto,Porto,http://portochicago.com/,"Portuguese, Wine Bars, Seafood",Chicago,$$$$,,4.1,3.0
EL Ideas,EL ideas,http://www.elideas.com,"American (New), Barbeque",Chicago,$$$$,,4.8,4.5
Boka,Boka,http://www.bokachicago.com/,American (New),Chicago,$$$,,4.7,4.5
Goosefoot,Goosefoot,https://www.goosefoot.net/,American (New),Chicago,$$$$,,4.8,4.5
MAKO,Mako,http://www.makochicago.com/,"Sushi Bars, Japanese",Chicago,$$$$,,4.6,4.5
Schwa,Schwa Restaurant,http://schwarestaurant.com/,American (New),Chicago,$$$$,,4.5,4.0
Temporis,Temporis,http://temporischicago.com/,American (New),Chicago,$$$$,,4.7,4.5
Next,Next Restaurant,http://www.nextrestaurant.com/,American (New),Chicago,$$$$,,4.6,4.0
Omakase Yume,OMAKASE YUME,http://omakaseyume.com/,"Sushi Bars, Japanese",Chicago,$$$$,,4.7,4.5
Esme,Esmé,http://esmechicago.com/,American (New),Chicago,$$$$,,4.4,4.0
Kasama,Kasama,http://kasamachicago.com/,"Filipino, Bakeries, American (New)",Chicago,$$,,4.7,4.5
Claudia,CLAUDIA,http://www.claudiarestaurant.com/,American (New),Chicago,,,4.3,4.0
Moody Tongue,Moody Tongue,http://www.moodytongue.com/,"Venues & Event Spaces, Brewpubs",Chicago,$$,,4.6,4.5
Smyth,Smyth,,"American (New), Seafood, Venues & Event Spaces",Chicago,$$$$,,4.6,4.0
Ever,Ever Restaurant,http://www.ever-restaurant.com/,American (New),Chicago,$$$$,,4.8,4.5
Oriole,Oriole,http://www.oriolechicago.com/,American (New),Chicago,$$$$,,4.8,5.0
Alinea,Alinea,http://www.alinearestaurant.com/,"American (New), Modern European",Chicago,$$$$,,4.6,4.5
