Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Au Cheval,Au Cheval,http://auchevaldiner.com/chicago/,"Bars, American (Traditional)",Chicago,$$,,4.6,4.5
Green Street Smoked Meats,Green Street Smoked Meats,http://greenstreetmeats.com/,"Barbeque, Cocktail Bars, Beer Bar",Chicago,$$,,4.7,4.5
HaiSous,HaiSous Vietnamese Kitchen,http://haisous.com/,Vietnamese,Chicago,$$,,4.5,4.0
88 marketplace,88 Marketplace,https://88marketplace.com/,International Grocery,Chicago,$$,,4.5,4.0
Velvet Taco,Velvet Taco,https://www.velvettaco.com/location/gold-coast/,"American (New), Tacos",Chicago,$$,,4.6,4.0
The Publican,The Publican,http://thepublicanrestaurant.com/,"American (New), Breakfast & Brunch, Diners",Chicago,$$$,,4.5,4.0
qxy dumplings,Qing Xiang Yuan Dumplings,http://qxydumplings.com/,"Barbeque, Dim Sum",Chicago,$$,,4.5,4.5
Ramen San,RAMEN-SAN,http://www.ramensan.com/,Ramen,Chicago,$$,,4.4,4.0
The Dearborn,The Dearborn,http://www.thedearborntavern.com/,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits",Chicago,$$,,4.6,4.5
Sushi San,Sushi-san,http://sushisanrestaurant.com/,"Sushi Bars, Japanese, Bars",Chicago,$$,,4.5,4.5
Cafe babareeba,Cafe Ba-Ba-Reeba!,http://www.cafebabareeba.com/?utm_source=google&utm_medium=social&utm_campaign=CBBR-GBiz,"Spanish, Tapas Bars, Venues & Event Spaces",Chicago,$$,,4.6,4.0
Sumu Ramen,Sumu Tokyo ramen & Sushi,http://www.sumuramen.com/,"Ramen, Sushi Bars, Noodles",Chicago,$$,,4.5,4.5
JJ Thai,JJ Thai Street Food,http://www.jjthaistreetfood.com/,Thai,Chicago,$$,,4.5,4.5
Lao Sze Chuan,Lao Sze Chuan (Downtown),https://laoszechuanusa.square.site/,Szechuan,Chicago,$$,,3.8,3.5
Giordanos,Giordano's,https://giordanos.com/locations/prudential-plaza-millenium-park/,"Pizza, Salad, Italian",Chicago,$$,,4.5,4.0
Lou Malnatis,Lou Malnati's Pizzeria,https://www.loumalnatis.com/chicago-river-north,"Pizza, Italian, Sandwiches",Chicago,$$,,4.5,4.0
Pequods,Pequod's Pizza,http://pequodspizza.com/chicago/?utm_source=google_my_business&utm_medium=organic,Pizza,Chicago,$$,,4.5,4.0
Velvet Taco,Velvet Taco,https://www.velvettaco.com/location/gold-coast/,"American (New), Tacos",Chicago,$$,,4.6,4.0
High Five Ramen,High Five Ramen,http://highfiveramen.com/,Ramen,Chicago,$$,,4.5,4.0
