Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Tatiana by Kwame Onwuachi,Tatiana by Kwame Onwuachi,https://www.tatiananyc.com/,"Caribbean, African",Manhattan,,,4.5,4.5
Mischa,Mischa,https://mischa-nyc.com/,American (New),Manhattan,,,4.5,4.5
Olle,Olle,http://ollenyc.com/,Korean,Manhattan,$$$,,4.6,4.5
Etrusca,Etrusca,http://www.etruscanyc.com/,Italian,Manhattan,,,4.7,3.5
Sushi W,Sushi W,http://sushiwny.com/,"Japanese, Sushi Bars",Manhattan,,,4.9,4.5
Davelle,Davelle,http://davellenewyork.com/,"Japanese, Breakfast & Brunch, Cafes",Manhattan,$,,4.5,4.0
Kimika,Kimika,https://www.kimikanyc.com/,"Italian, Cocktail Bars, Asian Fusion",Manhattan,$$,,4.0,4.0
Nubiani,NUBIANI,https://www.nubianinyc.com/,"Korean, Barbeque",Manhattan,,,4.6,4.5
Sushi On Me,Sushi On Me,,"Japanese, Sushi Bars, Speakeasies",Queens,$$$$,,4.8,5.0
Raku,Raku,http://www.rakunyc.com/,"Japanese, Noodles",Manhattan,$$,,4.6,4.5
Dept of Culture,Dept. of Culture,https://www.deptofculturebk.com/,African,Brooklyn,,,4.9,5.0
