Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Dunhua chinese and bbq,Dunhuang,,,Manhattan,$$,,4.5,
gorilla curry,Go Go Curry Times Square,http://www.gogocurryamerica.com/,Japanese,Manhattan,$,,4.4,1.5
saku japanese cuisine,Sakura of Japan,https://www.sakuraofjapan.getsauce.com/?utm_source=GMB&utm_medium=Website%20button&utm_id=Sakura%20of%20Japan%20John%20St,"Food Delivery Services, Japanese, Asian Fusion",Manhattan,$,,3.8,5.0
tenzan,Tenzan,,"Japanese, Sushi Bars",Manhattan,$$,,3.9,3.5
bei jing dimsum garden,Dim Sum Garden 稻香点心坊,,"Shanghainese, Dim Sum, Noodles",Queens,$$,,3.9,4.0
kao asian bistro and hibachi,Hibachi Express,https://hibachiexpresstogo.com/,"Shanghainese, Seafood, Noodles",Manhattan,$$,,4.3,4.0
eastern village,East Village,,"Tea Rooms, Asian Fusion, Szechuan",Manhattan,$$$,,,4.5
tokyo,Tokyo Record Bar,https://tokyorecordbar.com/,Sushi Bars,Manhattan,$$$$,,4.2,5.0
kiku fine fusion japanese,Kiku,https://qmenu.us/#/kiku-new-york,"Food Delivery Services, Japanese, Sushi Bars",Manhattan,$$,,4.2,1.0
yamitsaku ramen,Yama Ramen,http://yamaramen.com/,,Manhattan,$$,,4.2,
hoshi japanese and steak,Hoshi Hibachi & Sushi,http://www.hoshihibachi.com/,"Japanese, Sushi Bars",Patchogue,$$,,4.3,3.5
new dynasty restaurant,New Dynasty,http://www.newdynastyny.com/?utm_source=gmb&utm_medium=website,Chinese,Manhattan,$,,3.7,3.0
dr sea teppanyaki japanese,Izakaya MEW,http://mewnyc.com/,"Italian, Japanese",Manhattan,$$,,4.5,4.0
glazed hen korean fried chicken,Glazed Hen,,Korean,Manhattan,$,,2.7,2.5
bao bae artisan buns,Bao by Kaya - 570 Lexington,http://www.baobykaya.com/,"Ramen, American (New), Noodles",Manhattan,$$,,4.2,3.5
sushi ginza,Sushi Ginza Onodera,https://www.sushiginzaonoderanewyork.com/,"Sushi Bars, Japanese",Manhattan,$$$$,,4.6,4.5
tenzan,Tenzan,,"Japanese, Sushi Bars",Manhattan,$$,,3.9,3.5
go sushi,Go Sushi,https://gosushinytogo.com/,Sushi Bars,Manhattan,,,4.5,4.5
taquerita mexican street tacos,Taqueria St. Marks Place,http://www.facebook.com/taqueria.stmarksplace,Mexican,Manhattan,$,,4.5,4.0
aaa ichiban,AAA Ichiban Sushi,,"Japanese, Sushi Bars",Manhattan,$$,,,2.5
in a jar,Mason Jar NYC,http://www.masonjarny.com/,"Juice Bars & Smoothies, Food Delivery Services, Desserts",Manhattan,$$,,4.3,3.5
taco haus,The Little Taco House,,"Food Delivery Services, Mexican",Manhattan,,,4.7,3.0
little mint thai kitchen,Little Mint: Thai Kitchen,,Thai,Manhattan,$$,,1.9,4.5
bao works,Bao Works,https://www.grubhub.com/restaurant/bao-works-74-5th-ave-new-york/2033733?utm_source=gmb&utm_medium=yext&y_source=1_MTg2NTgwNjYtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,Asian Fusion,Manhattan,$,,2.9,2.5
azoza sushi,Azoza Sushi,,Sushi Bars,Manhattan,,,,2.5
soho asian cuisine,Soho Thai,http://www.sohothainyc.com/,"Thai, Malaysian, Vietnamese",Manhattan,$$,,4.2,4.5
bhaddahs hawaiian bbq and poke,Braddah's: Hawaiian BBQ,https://www.order.store/store/braddahs-hawaiian-bbq-nyc/6huCg0ATSD6CbJxCmFm05g,,Manhattan,$,,,
kobashi japanese curry,Abiko Curry,http://www.abiko-curry.com/,Japanese Curry,Manhattan,$$,,4.3,1.5
la birria de res tacos,La Birria De Res Tacos,,Mexican,Manhattan,$,,4.4,2.0
red mandarin garden,RedFarm,http://www.redfarmnyc.com/,"Chinese, Vietnamese, Cambodian",Manhattan,$$$,,4.3,3.5
tap teriyaki,Glaze Teriyaki,http://www.glaze.com/,"Japanese, Gluten-Free, Asian Fusion",Manhattan,$$,,4.1,3.5
astro burger,Astro,,"Diners, American (Traditional)",Manhattan,$$,,4.0,3.0
free bird,Tender Bird,https://www.grubhub.com/restaurant/free-bird-74-5th-ave-new-york/2204770?utm_source=gmb&utm_medium=yext&y_source=1_MTg2NTgwNzUtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,"Chicken Wings, Tacos",Manhattan,$,,2.1,2.0
panda kitchen,Panda Express,https://www.pandaexpress.com/locations/ny/new-york/663-ninth-avenue,Chinese,Manhattan,$,,4.1,3.0
oppa's crispy chicken,Oppa's Crispy Chicken,,Food Court,Manhattan,$$,,3.0,4.0
dragon express,China Dragon Express,,Chinese,Brooklyn,$,,4.3,3.5
uno sushi and lounge,SUSHI1 NYC,https://www.sush1nyc.com/,"Sushi Bars, Japanese",Manhattan,$$$$,,4.4,4.0
fuji asian fusion,Fuji Sushi,http://www.fujisushinyc.com/?utm_source=gmb&utm_medium=website,Asian Fusion,Manhattan,$$,,4.0,3.5
don poke,Don Poke,https://www.seamless.com/menu/don-poke-74-5th-ave-new-york/2032350,"Poke, Hawaiian",Manhattan,$,,3.0,2.5
yuki sushi,O Ramen & Dim Sum M Yuki Sushi,https://www.yukisushioramen.com/,"Sushi Bars, Ramen",Manhattan,$$,,4.7,4.0
taki purple rice sushi,Purple Rice Korean Kitchen,,"Japanese, Sushi Bars, International Grocery",Manhattan,$$,,4.2,4.5
