Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
JOOMAK BANJUM,Joomak Banjum,http://www.joomakbanjum.com/,Korean,Manhattan,$$$$,,4.4,4.0
Tempura Matsui,Tempura Matsui,http://www.tempuramatsui.com/,"Japanese, Seafood",Manhattan,$$$$,,4.8,4.5
Batard,Bâtard,http://www.batardtribeca.com/,"Modern European, American (New), French",Manhattan,$$$$,,4.5,4.0
Masa,Bar Masa,http://www.barmasanyc.com/,"Sushi Bars, Japanese",Manhattan,$$$$,,4.1,4.0
Oxalis,Oxalis,http://www.oxalisnyc.com/,"French, American (New)",Brooklyn,$$$,,4.8,4.5
Le Coucou,Le Coucou,https://www.lecoucou.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,French,Manhattan,$$$$,,4.5,4.0
RED PAPER CLIP,Red Paper Clip,http://www.redpaperclipnyc.com/,"Seafood, Cocktail Bars, Chinese",Manhattan,,,4.3,4.0
One White Street,One White Street,https://www.onewhitestreetnyc.com/,American (New),Manhattan,,,4.5,4.0
The Musket Room,The Musket Room,http://www.musketroom.com/,"American (New), Cocktail Bars, Wine Bars",Manhattan,$$$$,,4.5,4.0
tuome,Tuome,http://www.tuomenyc.com/,"American (New), Asian Fusion",Manhattan,$$,,4.5,4.5
Francie,Francie,http://www.franciebrooklyn.com/,"American (New), Brasseries",Brooklyn,$$,,4.6,4.5
Crown Shy,Crown Shy,https://www.crownshy.nyc/,"American (New), Cocktail Bars",New York,$$$,,4.6,4.0
ESTELA,Estela,http://estelanyc.com/,"American (New), Breakfast & Brunch, Cocktail Bars",Manhattan,$$$,,4.5,4.0
Don Angie,Don Angie,http://donangie.com/,"Italian, American (New)",Manhattan,$$$,,4.6,4.5
The Four Horsemen,The Four Horsemen,http://fourhorsemenbk.com/,"Wine Bars, American (New)",Brooklyn,$$,,4.7,4.5
Jean-Georges,Jean-Georges,http://www.jean-georgesrestaurant.com/jean-georges/,"French, American (New), Asian Fusion",Manhattan,$$$$,,4.5,4.0
Jeju Noodle Bar,Jeju Noodle Bar,http://jejunoodlebar.com/,"Korean, Noodles, Wine Bars",Manhattan,$$,,4.4,4.0
Oxomoco,Oxomoco,https://www.oxomoconyc.com/,Mexican,Brooklyn,$$,,4.5,4.0
Casa Mono,Casa Mono,http://www.casamononyc.com/,"Spanish, Tapas Bars",Manhattan,$$$,,4.4,4.0
Per Se,Per Se,https://www.thomaskeller.com/perseny,French,Manhattan,$$$$,,4.6,4.5
KOSAKA,Kosaka,http://kosakanyc.com/,"Japanese, Sushi Bars",Manhattan,$$$$,,4.5,4.5
icca,icca,https://icca.nyc/,Japanese,Manhattan,,,4.2,4.5
SEMMA,Semma,http://semma.nyc/,"Indian, Wine Bars, Cocktail Bars",Manhattan,$$$$,,4.2,4.0
Casa Enrique,Casa Enrique,https://casaenriquelic.com/,Mexican,Queens,$$,,4.6,4.0
Aska,Aska,http://askanyc.com/,"Scandinavian, Bars",Brooklyn,$$$$,,4.6,4.5
Le Bernardin,Le Bernardin Privé,http://www.le-bernardinprive.com/,"French, Lounges",Manhattan,$$$$,,4.3,4.5
Al Coro,Al Coro,https://www.alcoro-nyc.com/,Italian,Manhattan,,,4.0,4.0
DANIEL,Daniel,http://www.danielnyc.com/,"French, Bars, American (New)",Manhattan,$$$$,,4.6,4.5
Caviar Russe,Caviar Russe,https://www.caviarrusse.com/,"American (New), Seafood",Manhattan,$$$$,,4.5,4.5
Aquavit,Aquavit,http://www.aquavit.org/,Scandinavian,Manhattan,$$$$,,4.6,4.0
Gabriel Kreuther,Gabriel Kreuther,https://www.gknyc.com/,"Lounges, French",Manhattan,$$$$,,4.6,4.5
Sushi Yasuda,Sushi Yasuda,http://www.sushiyasuda.com/,"Sushi Bars, Japanese",Manhattan,$$$$,,4.4,4.0
Sushi Nakazawa,Sushi Nakazawa,http://sushinakazawa.com/,"Japanese, Sushi Bars",Manhattan,$$$$,,4.6,4.5
Sushi Ginza Onodera,Sushi Ginza Onodera,https://www.sushiginzaonoderanewyork.com/,"Sushi Bars, Japanese",Manhattan,$$$$,,4.6,4.5
Momofuku Ko,Momofuku Ko,https://ko.momofuku.com/,American (New),Manhattan,$$$$,,4.6,4.5
Contra,Contra,http://www.contranyc.com/,American (New),Manhattan,$$$,,4.3,4.0
Sushi Noz,Sushi Noz,http://sushinoz.com/,"Sushi Bars, Japanese, Seafood",Manhattan,$$$$,,4.6,4.5
Chef's Table at Brooklyn Fare,The Chef's Table at Brooklyn Fare,http://www.brooklynfare.com/,"Japanese, Seafood",Manhattan,$$$$,,4.1,4.5
Shion 69 Leonard Street,Shion 69 Leonard Street,http://www.69leonardstreet.com/,"Japanese, Sushi Bars, Bars",Manhattan,$$$$,,4.6,4.5
Blue Hill at Stone Barns,Blue Hill At Stone Barns,https://www.bluehillfarm.com/,American (New),Tarrytown,$$$$,,4.7,4.5
YOSHINO,YOSHINO • NEW YORK,https://www.yoshinonewyork.com/,Sushi Bars,Manhattan,,,4.7,4.5
Noz 17,Noz 17,http://noz17.com/,"Sushi Bars, Japanese",Manhattan,,,4.5,5.0
atomix,ATOMIX,http://www.atomixnyc.com/,Korean,Manhattan,$$$$,,4.8,4.5
noda,noda,http://noda.nyc/,Sushi Bars,Manhattan,$$$$,,4.7,4.5
Eleven Madison Park,Eleven Madison Park,https://www.elevenmadisonpark.com/,"American (New), French, Cocktail Bars",Manhattan,$$$$,,4.5,4.5
Atera,Atera,http://www.ateranyc.com/,American (New),Manhattan,$$$$,,4.7,4.5
Jungsik,Jungsik,http://www.jungsik.com/,Korean,Manhattan,$$$$,,4.7,4.5
SAGA,SAGA,https://www.saga-nyc.com/,"American (New), Wine Bars",Manhattan,$$$$,,4.6,4.0
Tsukimi,Tsukimi,http://www.tsukimi.nyc/,Japanese,Manhattan,$$$$,,4.6,5.0
The Modern,The Modern,https://www.themodernnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,American (New),Manhattan,$$$$,,4.6,4.5
odo,odo,http://www.odo.nyc/,Japanese,Manhattan,$$$$,,4.7,4.5
Sushi AMANE,sushi AMANE,http://www.sushi-amane.com/,Sushi Bars,Manhattan,$$$$,,4.6,4.0
l'abeille,l’abeille,http://www.labeille.nyc/,French,Manhattan,,,4.5,4.0
Kanoyama,Kanoyama,http://www.kanoyama.com/,"Japanese, Sushi Bars",Manhattan,$$,,4.3,4.0
The River Café,The River Café,https://www.rivercafe.com/,"American (New), Wine Bars, Venues & Event Spaces",Brooklyn,$$$$,,4.4,4.0
Torien,Torien,http://www.torien-nyc.com/,Japanese,Manhattan,$$,,4.5,4.5
Hirohisa,Hirohisa,https://www.hirohisa.nyc/,Japanese,Manhattan,$$$,,4.4,4.5
Clover Hill,Clover Hill,http://cloverhillbk.com/,American (New),Brooklyn,,,4.5,4.5
Frevo,Frevo,http://frevonyc.com/,"French, Modern European, Art Galleries",Manhattan,$$$$,,4.8,4.5
Gramercy Tavern,Gramercy Tavern,http://www.gramercytavern.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,American (New),Manhattan,$$$$,,4.6,4.5
Family Meal at Blue Hill Farm,Family Meal at Blue Hill,https://www.bluehillfarm.com/,American (New),Manhattan,$$$$,,4.6,4.5
Jua,Jua,http://www.juanyc.com/,Korean,Manhattan,$$$$,,4.8,5.0
