Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Shukette,Shukette,http://www.shukettenyc.com/,Middle Eastern,Manhattan,$$$,,4.7,4.5
Chi Restaurant and Bar,Chi Restaurant & Bar,http://chirestaurantnyc.com/,"Bars, Szechuan",Manhattan,$$,,4.6,4.5
Balkan StrEAT,Balkan StrEAT,http://www.balkanstreat.com/,"Burgers, Modern European",Manhattan,$$,,5.0,4.5
Time Out Market NYC,Time Out Market New York,https://www.timeoutmarket.com/newyork/,Food Court,Brooklyn,$$,,4.5,4.0
Flipper's,Flipper's,https://www.flippersus.com/,"Japanese, Pancakes",Manhattan,$$,,4.2,3.5
Baekjong,Baekjeong NYC,http://www.baekjeongnyc.com/,"Korean, Barbeque",Manhattan,$$$,,4.4,4.0
ARIARI,ARIARI,https://ariarinyc.com/,"Korean, Tapas/Small Plates, Gastropubs",Manhattan,,,4.6,4.5
C as in Charlie,C as in Charlie,http://c-asincharlie.com/,"Korean, Tapas/Small Plates, Southern",Manhattan,,,4.9,4.5
Double Chicken Please,Double Chicken Please,http://www.doublechickenplease.com/,"Cocktail Bars, Burgers, Sandwiches",Manhattan,$$,,4.6,4.5
Mountain House Manhattan,Mountain House Manhattan 川山甲,https://www.szechuanmountainhouse.com/,Szechuan,Manhattan,$$,,4.5,4.5
uluh,uluh,https://www.uluhny.com/,"Tea Rooms, Asian Fusion, Szechuan",Manhattan,$$,,4.3,4.5
traif,Traif,http://traifny.com/,"American (New), Tapas/Small Plates",Brooklyn,$$,,4.5,4.5
Maison Kintaro,Maison Kintaro,https://www.maisonkintaro.com/,Japanese,Manhattan,$$,,4.6,4.5
Take 31,Take 31,http://www.mytake31.com/,"Korean, Gastropubs, Soul Food",Manhattan,$$,,4.4,4.5
Los Tacos No.1,Los Tacos No.1,https://www.lostacos1.com/,Tacos,Manhattan,$,,4.7,4.5
Chama Mama,Chama Mama,http://www.chamamama.com/,"Georgian, Wine Bars, Cocktail Bars",Manhattan,$$,,4.6,4.5
NY Dosas,NY Dosas,http://nydosas.com/,"Indian, Food Stands, Vegetarian",Manhattan,$,,4.4,4.5
B&H Dairy,B-Fischer & Co.,,"Vegetarian, Delis, Kosher",Manhattan,$,,,4.5
Una Pizza Napoletana,Una Pizza Napoletana,https://unapizza.com/,"Pizza, Beer, Wine & Spirits",Manhattan,$$$,,4.3,3.5
Bengal Tiger,Bengal Tiger,http://www.bengaltigerindianfood.com/,Indian,Manhattan,$$,,4.5,4.5
Chunky Boss NYC,CHUNKY BOSS,https://chunkyboss.co/,"Trainers, Yoga, Pilates",Manhattan,,,4.3,4.0
